frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
143,2526,308.44,176.73,0.602,4.51,0.833,485,13.56,13,1,238.55,138.64,0.230
144,2554,309.83,176.97,0.595,4.97,0.840,481,12.48,12,1,238.82,138.36,0.239
145,2568,311.04,177.21,0.606,3.70,0.837,478,12.52,14,1,238.55,137.64,0.240
146,2567,311.00,176.92,0.617,3.47,0.819,480,15.82,13,1,238.56,137.33,0.247
147,2499,310.10,176.11,0.610,3.92,0.830,496,12.63,12,1,238.20,136.50,0.233
148,2455,308.92,175.05,0.613,3.67,0.838,472,12.64,12,1,238.75,136.33,0.226
149,2388,307.65,174.06,0.616,4.02,0.814,489,12.32,11,1,245.42,139.42,0.213
150,2353,307.55,173.75,0.611,4.04,0.863,451,11.42,10,1,239.00,135.70,0.208
151,2366,306.98,173.34,0.618,4.02,0.859,465,15.75,9,1,249.87,141.27,0.207
152,2336,306.68,173.03,0.609,4.15,0.834,487,5.22,8,1,238.42,135.33,0.199
153,2336,306.68,173.03,0.609,4.15,0.834,487,0.00,7,1,238.42,135.33,0.199
154,2336,306.68,173.03,0.609,4.15,0.834,487,0.00,6,1,238.42,135.33,0.199
155,2338,306.19,173.96,0.625,4.06,0.849,455,26.31,5,1,238.83,135.08,0.194
156,2252,303.60,173.34,0.601,4.31,0.864,448,27.47,5,1,238.75,134.75,0.205
157,2217,304.30,172.25,0.601,4.24,0.869,441,29.82,3,1,238.83,134.50,0.193
158,2208,304.71,171.32,0.589,4.35,0.862,450,27.82,1,1,239.09,133.91,0.184
159,1788,285.59,162.15,0.821,5.31,0.858,426,52.22,2,1,238.64,133.73,0.058
160,1747,283.28,162.40,0.812,5.95,0.853,422,32.23,1,1,239.08,133.83,0.061
161,2213,306.68,169.37,0.506,4.25,0.862,454,67.25,1,1,238.55,134.09,0.171
162,1833,296.72,154.20,0.754,4.91,0.861,438,71.58,1,1,238.75,134.25,0.006
163,1810,292.90,157.45,0.845,5.03,0.874,420,53.16,1,1,238.56,134.33,0.017
164,2158,301.95,171.21,0.611,4.26,0.862,446,70.75,2,1,238.42,134.42,0.167
165,1730,283.99,160.53,0.785,5.61,0.882,396,49.59,4,1,238.15,134.31,0.044
166,1739,284.79,160.64,0.725,5.41,0.861,404,20.26,3,1,238.17,134.42,0.050
167,1705,282.51,161.06,0.782,5.16,0.885,356,21.09,2,1,238.43,134.36,0.036
168,1746,283.49,162.59,0.847,5.15,0.864,394,23.30,1,1,239.00,134.44,0.045
169,2192,304.19,171.11,0.590,4.15,0.868,455,58.04,1,1,238.92,134.67,0.174
170,1803,292.23,157.90,0.859,5.05,0.861,438,64.24,1,1,247.18,138.18,0.016
171,2266,308.07,170.20,0.498,3.93,0.870,445,65.18,3,1,238.58,134.50,0.173
172,2255,306.49,171.44,0.566,4.61,0.851,488,30.39,11,1,238.50,135.00,0.191
173,2233,305.19,172.36,0.600,4.52,0.845,465,27.26,9,1,238.55,135.36,0.187
174,2260,304.63,173.20,0.595,4.42,0.820,459,21.66,8,1,238.56,135.33,0.205
175,2306,305.50,173.20,0.607,3.90,0.845,442,12.64,7,1,244.86,138.64,0.191
176,2336,306.68,173.03,0.609,4.15,0.834,487,16.45,6,1,238.42,135.33,0.199
177,2336,306.68,173.03,0.609,4.15,0.834,487,0.00,5,1,238.42,135.33,0.199
178,2336,306.68,173.03,0.609,4.15,0.834,487,0.00,4,1,238.42,135.33,0.199
179,2331,307.31,172.93,0.614,4.16,0.853,476,7.15,3,1,247.60,139.90,0.200
180,2337,307.80,172.22,0.590,3.81,0.850,458,15.20,3,1,238.45,135.27,0.191
181,2328,309.43,170.65,0.541,4.21,0.829,479,26.64,2,1,238.60,135.50,0.185
182,2333,311.32,168.60,0.484,3.86,0.868,477,32.34,1,1,239.09,135.55,0.172
183,1885,300.47,154.82,0.876,4.93,0.864,452,69.68,2,1,239.30,135.20,0.014
184,1839,301.38,150.69,0.863,4.89,0.873,420,40.51,2,1,247.43,136.86,0.004
185,1768,301.31,145.80,0.856,5.15,0.891,399,43.99,2,1,239.45,134.64,0.006
186,1716,301.29,140.90,0.861,4.31,0.893,344,44.88,2,1,250.45,136.00,0.071
187,1674,301.38,135.56,0.876,4.72,0.924,331,46.68,1,1,240.27,134.73,0.152
188,1683,300.80,130.32,0.864,4.93,0.912,363,50.09,2,1,240.27,134.82,0.210
189,1739,300.28,124.59,0.843,4.20,0.916,387,47.88,2,1,240.07,134.57,0.301
190,1805,299.62,118.57,0.779,4.54,0.865,435,48.80,2,1,239.90,134.80,0.348
191,1926,298.87,111.71,0.747,4.15,0.834,431,48.92,2,1,239.38,134.23,0.387
192,2080,298.16,103.89,0.686,3.70,0.858,410,49.55,1,1,239.00,134.45,0.434
193,2150,292.35,96.56,0.624,3.95,0.862,422,53.23,1,1,239.09,134.45,0.453
194,2122,281.09,91.40,0.594,4.38,0.820,440,56.93,1,1,238.11,134.67,0.442
195,2090,267.88,87.14,0.574,4.26,0.791,435,57.89,1,1,237.64,134.82,0.421
196,2047,252.46,85.68,0.564,3.86,0.774,405,60.61,1,1,237.00,135.20,0.397
197,2005,237.73,85.39,0.533,4.59,0.728,458,57.42,1,1,235.35,125.35,0.382
198,1951,222.94,87.56,0.529,4.56,0.702,411,57.24,1,1,233.30,129.20,0.347
199,1954,209.27,91.85,0.510,4.71,0.697,447,58.05,1,1,228.11,127.89,0.345
200,1960,197.20,97.38,0.494,4.85,0.677,443,57.93,1,1,233.50,136.92,0.328
201,1943,187.56,104.13,0.496,4.43,0.686,421,56.67,1,1,225.29,133.93,0.290
202,1959,179.12,110.11,0.494,4.44,0.794,414,52.03,1,1,218.94,132.81,0.288
203,1969,173.02,116.80,0.487,4.32,0.789,445,52.88,1,1,224.69,136.92,0.254
204,1922,169.29,124.03,0.499,5.41,0.816,474,51.03,2,1,225.86,139.43,0.178
205,1920,167.14,130.56,0.500,4.48,0.826,450,48.38,2,1,219.77,140.85,0.101
206,1924,165.89,136.35,0.490,5.41,0.833,472,42.85,2,1,220.07,142.71,0.075
207,1912,165.57,141.77,0.496,4.81,0.838,446,40.03,2,1,229.64,143.18,0.013
208,1903,166.91,146.99,0.503,4.68,0.814,422,35.70,3,1,229.08,144.25,0.063
209,1883,169.02,152.22,0.506,3.93,0.814,359,32.03,4,1,228.92,146.23,0.075
210,1843,171.27,155.93,0.516,5.15,0.814,411,26.46,11,1,228.86,147.14,0.041
211,1854,173.29,157.90,0.522,5.56,0.826,424,22.86,20,1,229.36,147.73,0.036
212,1807,175.83,159.58,0.529,5.04,0.835,395,23.31,19,1,228.85,147.77,0.042
213,1819,177.38,160.38,0.530,5.55,0.779,421,15.75,18,1,229.50,147.60,0.032
214,1828,178.73,160.63,0.537,4.92,0.824,393,12.11,17,1,229.08,147.08,0.059
215,1797,180.76,160.69,0.538,5.29,0.807,423,12.47,16,1,229.08,147.08,0.054
216,1791,181.69,160.71,0.552,5.25,0.801,419,10.06,15,1,229.08,147.08,0.059
217,1778,182.98,160.77,0.568,4.89,0.811,397,9.25,14,1,229.08,147.08,0.064
218,1778,183.73,160.73,0.557,5.06,0.799,405,8.09,13,1,229.08,147.08,0.067
219,1769,184.80,160.73,0.564,4.97,0.793,404,8.06,12,1,229.00,147.08,0.069
220,1781,185.01,160.76,0.570,5.11,0.787,387,8.93,11,1,229.08,147.08,0.076
221,1763,186.24,160.78,0.584,4.82,0.787,381,7.81,10,1,229.08,147.08,0.078
222,1773,186.49,160.69,0.580,5.08,0.786,424,7.09,9,1,229.08,147.08,0.072
223,1774,186.76,160.72,0.583,4.68,0.779,386,5.00,8,1,229.08,147.08,0.076
224,1771,187.34,160.74,0.590,4.63,0.777,389,7.75,7,1,229.08,147.08,0.079
225,1758,187.79,160.80,0.602,4.66,0.770,406,3.18,6,1,229.08,147.08,0.076
226,1777,187.37,160.73,0.592,4.84,0.771,403,3.28,5,1,229.08,147.08,0.078
227,1777,187.37,160.73,0.592,4.84,0.771,403,0.00,4,1,229.08,147.08,0.078
228,1777,187.37,160.73,0.592,4.84,0.771,403,0.00,3,1,229.08,147.08,0.078
229,1777,187.37,160.73,0.592,4.84,0.771,403,0.00,2,1,229.08,147.08,0.078
230,1777,187.37,160.73,0.592,4.84,0.771,403,0.00,1,1,229.08,147.08,0.078
